region,quantity,year
Область Абай,33,2022
Акмолинская,3755,2022
Актюбинская,3405,2022
Алматинская,6922,2022
Атырауская,4997,2022
Западно-Казахстанская,3820,2022
Жамбылская,4768,2022
Область Жетісу,61,2022
Карагандинская,5668,2022
Костанайская,3649,2022
Кызылординская,4358,2022
Мангистауская,4397,2022
Южно-Казахстанская,3948,2022
Павлодарская,3982,2022
Северо-Казахстанская,2998,2022
Туркестанская,2461,2022
Область Ұлытау,29,2022
Восточно-Казахстанская,5436,2022
г.Астана,6826,2022
г.Алматы  ,11792,2022
г.Шымкент,2929,2022
